City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Lebedyan,RU,2021-04-16 19:51:48,53.0194,39.1664,52.75,61,37,3.71
256,Nuuk,GL,2021-04-16 19:51:48,64.1835,-51.7216,14.0,67,75,4.61
257,Maceio,BR,2021-04-16 19:51:48,-9.6658,-35.7353,80.6,83,20,11.5
258,Ponta Do Sol,PT,2021-04-16 19:50:30,32.6667,-17.1,63.0,69,18,1.01
259,Cockburn Town,TC,2021-04-16 19:51:49,21.4612,-71.1419,77.04,65,99,5.17
260,Axim,GH,2021-04-16 19:51:15,4.8699,-2.2405,81.48,79,92,8.46
261,Synya,RU,2021-04-16 19:51:49,65.3718,58.0387,28.92,97,100,3.31
262,Yanam,IN,2021-04-16 19:51:49,16.7333,82.2167,78.58,79,0,2.82
263,Arona,ES,2021-04-16 19:51:50,28.0996,-16.681,69.8,60,75,13.8
264,Pevek,RU,2021-04-16 19:50:52,69.7008,170.3133,20.98,95,100,9.06
265,Pocone,BR,2021-04-16 19:51:50,-16.2567,-56.6228,82.71,65,82,8.43
266,Mandla,IN,2021-04-16 19:51:50,22.6,80.3833,80.1,24,4,3.74
267,Tautira,PF,2021-04-16 19:51:51,-17.7333,-149.15,86.0,66,20,14.97
268,Ancud,CL,2021-04-16 19:51:36,-41.8697,-73.8203,64.0,77,75,8.05
269,Kendari,ID,2021-04-16 19:51:51,-3.945,122.4989,73.47,92,32,4.09
270,Norfolk,US,2021-04-16 19:50:57,42.1668,-71.2495,37.0,96,100,3.0
271,Saint-Pierre,RE,2021-04-16 19:51:52,-21.3393,55.4781,78.8,73,94,5.75
272,Mandalgovi,MN,2021-04-16 19:51:52,45.7625,106.2708,30.87,32,0,7.78
273,Flinders,AU,2021-04-16 19:47:23,-34.5833,150.8552,55.0,83,100,1.01
274,Porto Novo,BJ,2021-04-16 19:51:52,6.4965,2.6036,84.2,70,40,6.91
275,Harper,LR,2021-04-16 19:51:53,4.375,-7.7169,81.07,79,95,9.04
276,Zhigansk,RU,2021-04-16 19:47:33,66.7697,123.3711,24.42,90,100,17.38
277,Rocha,UY,2021-04-16 19:51:53,-34.4833,-54.3333,70.47,85,38,7.94
278,Phonhong,LA,2021-04-16 19:51:53,18.5007,102.4166,75.15,87,100,3.83
279,Jumla,NP,2021-04-16 19:51:54,29.2747,82.1838,48.65,53,98,4.7
280,Portland,US,2021-04-16 19:49:57,45.5234,-122.6762,77.0,19,1,20.71
281,Balaka,MW,2021-04-16 19:51:54,-14.9793,34.9558,67.5,79,70,3.51
282,Sitka,US,2021-04-16 19:51:01,57.0531,-135.33,48.2,76,20,2.89
283,Suntar,RU,2021-04-16 19:51:55,62.1444,117.6319,24.58,73,100,12.03
284,Nemuro,JP,2021-04-16 19:51:06,43.3236,145.575,40.3,84,81,19.91
285,Mirebalais,HT,2021-04-16 19:51:55,18.8333,-72.1053,93.78,27,12,7.9
286,Andapa,MG,2021-04-16 19:51:55,-14.65,49.65,69.89,99,92,1.63
287,Haines Junction,CA,2021-04-16 19:51:56,60.7522,-137.5108,41.0,45,89,4.61
288,Adrar,MR,2021-04-16 19:47:03,20.5022,-10.0711,80.51,20,3,10.67
289,Brokopondo,SR,2021-04-16 19:51:56,4.75,-55.1667,84.25,68,100,6.62
290,Constitucion,CL,2021-04-16 19:49:49,-35.3333,-72.4167,63.84,65,99,11.18
291,Jadu,LY,2021-04-16 19:47:20,31.953,12.0261,60.69,67,10,8.75
292,Villa Union,MX,2021-04-16 19:51:57,23.2,-106.2333,82.4,51,1,8.05
293,Brae,GB,2021-04-16 19:51:57,60.3964,-1.353,43.23,84,100,15.48
294,Gigmoto,PH,2021-04-16 19:51:57,13.7796,124.39,78.82,88,100,9.69
