City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
145,Christchurch,NZ,-43.5333,172.6333,54.0,58,46,4.61,scattered clouds
146,San Cristobal,VE,7.7669,-72.225,65.89,93,61,2.98,broken clouds
147,Saskylakh,RU,71.9167,114.0833,4.44,91,100,14.38,overcast clouds
148,Enshi,CN,30.3,109.4833,70.32,61,100,1.16,overcast clouds
149,Asau,RO,46.4333,26.4,46.99,33,24,1.61,few clouds
150,Luderitz,NA,-26.6481,15.1594,78.96,34,89,13.13,overcast clouds
151,Salmas,IR,38.1973,44.7653,60.8,39,0,2.35,clear sky
152,Port Hardy,CA,50.6996,-127.4199,50.0,87,1,3.44,clear sky
153,Ahipara,NZ,-35.1667,173.1667,59.97,69,11,11.95,few clouds
154,Port Elizabeth,ZA,-33.918,25.5701,55.4,76,0,9.22,clear sky
155,Necochea,AR,-38.5473,-58.7368,59.79,90,1,5.14,clear sky
156,Rawson,AR,-43.3002,-65.1023,60.62,47,23,6.67,few clouds
157,Derzhavinsk,KZ,51.1,66.3167,50.25,77,86,11.41,overcast clouds
158,Yar-Sale,RU,66.8333,70.8333,3.88,87,31,8.95,scattered clouds
159,Pisco,PE,-13.7,-76.2167,68.0,77,0,5.75,clear sky
160,Santa Vitoria,BR,-18.8386,-50.1214,68.74,87,94,0.47,overcast clouds
161,Olafsvik,IS,64.8945,-23.7142,37.81,78,85,27.2,overcast clouds
162,Charters Towers,AU,-20.1,146.2667,86.45,25,10,9.62,clear sky
163,Bengkulu,ID,-3.8004,102.2655,82.78,73,91,5.19,overcast clouds
164,Mabaruma,GY,8.2,-59.7833,75.79,78,75,3.31,broken clouds
165,Okhotsk,RU,59.3833,143.3,29.52,85,70,12.24,broken clouds
166,Ust-Kulom,RU,61.6864,53.6902,40.89,62,63,9.75,broken clouds
167,Murgab,TM,37.4966,61.9714,68.0,22,90,18.41,dust
168,Constitucion,CL,-35.3333,-72.4167,54.64,85,62,2.17,broken clouds
169,Port Hedland,AU,-20.3167,118.5667,95.0,29,1,14.97,clear sky
170,Hofn,IS,64.2539,-15.2082,43.23,76,62,15.77,broken clouds
171,Pemangkat,ID,1.1667,108.9667,84.54,67,100,8.37,overcast clouds
172,Korba,IN,22.35,82.6833,102.2,12,56,8.23,broken clouds
173,Khatanga,RU,71.9667,102.5,12.67,87,100,10.6,overcast clouds
174,Qaanaaq,GL,77.484,-69.3632,-9.76,94,97,3.36,overcast clouds
175,Thompson,CA,55.7435,-97.8558,28.4,80,20,4.59,few clouds
176,Panama City,PA,8.9936,-79.5197,75.99,85,100,2.24,overcast clouds
177,Hilo,US,19.7297,-155.09,75.2,64,90,1.19,overcast clouds
178,Vao,NC,-22.6667,167.4833,74.1,74,51,15.75,broken clouds
179,Sao Filipe,CV,14.8961,-24.4956,70.79,75,1,13.56,clear sky
180,Lompoc,US,34.6391,-120.4579,51.8,82,28,6.91,scattered clouds
181,Vyborg,RU,60.7076,28.7528,46.0,42,0,5.75,clear sky
182,Ambilobe,MG,-13.2,49.05,81.99,77,27,2.95,light rain
183,Rabo De Peixe,PT,37.8,-25.5833,62.6,100,75,11.5,mist
184,Odweyne,SO,9.4092,45.064,77.58,55,5,12.17,clear sky
185,Santa Cruz,BO,-17.8,-63.1667,71.49,79,0,4.83,clear sky
186,La Ronge,CA,55.1001,-105.2842,32.0,64,73,2.3,broken clouds
187,Valparaiso,CL,-33.0393,-71.6273,55.99,83,89,5.32,overcast clouds
188,Hamilton,US,39.1834,-84.5333,46.0,87,1,2.06,clear sky
189,Claveria,PH,18.6074,121.0832,85.33,61,42,14.61,scattered clouds
190,Saint-Denis,FR,48.9167,2.3333,41.0,87,0,8.05,clear sky
191,Vredendal,ZA,-31.6683,18.5012,76.66,26,4,6.87,clear sky
192,Victoria,HK,22.2855,114.1577,75.0,91,100,3.0,overcast clouds
193,Tomatlan,MX,19.9333,-105.25,65.1,74,0,1.72,clear sky
194,Kavaratti,IN,10.5669,72.642,84.56,69,12,6.2,few clouds
195,Eyl,SO,7.9803,49.8164,86.95,55,2,12.91,clear sky
196,Saint-Leu,RE,-21.15,55.2833,84.2,70,75,8.05,light rain
197,San Pedro,PH,14.35,121.0167,91.4,55,90,9.22,overcast clouds
198,Kuryk,KZ,43.2,51.65,65.19,36,12,6.93,few clouds
199,Tautira,PF,-17.7333,-149.15,82.0,74,20,4.61,light rain
200,Fuerte Olimpo,PY,-21.0415,-57.8738,73.71,61,9,4.59,clear sky
201,Sehithwa,BW,-20.4667,22.7167,68.97,50,73,11.72,broken clouds
